method,dataset,trial,n_features,n_samples,converged,iterations,f_evals,cpu_time,residual,accuracy
SOPP,a7a.t,3,123,16461,true,291,582,0.466257000,9.696321e-12,0.738048
SDLP,a7a.t,3,123,16461,true,156,313,0.268409200,9.330552e-12,0.738048
MOPCGM,a7a.t,3,123,16461,true,2447,4894,4.079127100,9.939055e-12,0.738048
CGPM,a7a.t,3,123,16461,true,621,1398,1.159159500,9.884888e-12,0.738048
STTDFPM,a7a.t,3,123,16461,true,141,398,0.310165100,9.691227e-12,0.738048
SOPP,a7a.t,4,123,16461,true,287,575,0.433126900,9.950950e-12,0.738048
SDLP,a7a.t,4,123,16461,true,154,308,0.255068400,9.717782e-12,0.738048
MOPCGM,a7a.t,4,123,16461,true,2418,4836,3.912775100,9.959891e-12,0.738048
CGPM,a7a.t,4,123,16461,true,611,1373,1.087885900,9.921761e-12,0.738048
STTDFPM,a7a.t,4,123,16461,true,137,401,0.352614800,9.037462e-12,0.738048
SOPP,a7a.t,5,123,16461,true,290,580,0.510463900,9.685276e-12,0.738048
SDLP,a7a.t,5,123,16461,true,156,312,0.235510400,9.315477e-12,0.738048
MOPCGM,a7a.t,5,123,16461,true,2438,4876,4.043758300,9.982450e-12,0.738048
CGPM,a7a.t,5,123,16461,true,600,1346,1.087907300,9.755081e-12,0.738048
STTDFPM,a7a.t,5,123,16461,true,142,406,0.345088900,8.789885e-12,0.738048
SOPP,a8a.t,1,123,9865,true,293,587,0.184840000,9.771195e-12,0.742321
SDLP,a8a.t,1,123,9865,true,158,316,0.089352800,9.639334e-12,0.742321
MOPCGM,a8a.t,1,123,9865,true,2469,4938,1.336520700,9.981973e-12,0.742321
CGPM,a8a.t,1,123,9865,true,646,1457,0.396115700,9.800980e-12,0.742321
STTDFPM,a8a.t,1,123,9865,true,137,396,0.105752100,8.575778e-12,0.742321
SOPP,a8a.t,2,123,9865,true,290,580,0.178872500,9.744520e-12,0.742321
SDLP,a8a.t,2,123,9865,true,155,311,0.094596100,9.653923e-12,0.742321
MOPCGM,a8a.t,2,123,9865,true,2438,4876,1.354768500,9.970036e-12,0.742321
CGPM,a8a.t,2,123,9865,true,639,1437,0.404547200,9.957237e-12,0.742321
STTDFPM,a8a.t,2,123,9865,true,130,389,0.125018400,7.916588e-12,0.742321
SOPP,a8a.t,3,123,9865,true,291,582,0.154581400,9.734472e-12,0.742321
SDLP,a8a.t,3,123,9865,true,156,313,0.117631900,9.352020e-12,0.742321
MOPCGM,a8a.t,3,123,9865,true,2447,4894,1.591396500,9.979716e-12,0.742321
CGPM,a8a.t,3,123,9865,true,639,1439,1.190903100,9.924787e-12,0.742321
STTDFPM,a8a.t,3,123,9865,true,143,441,0.181957400,7.689530e-12,0.742321
SOPP,a8a.t,4,123,9865,true,288,577,0.386840900,9.969643e-12,0.742321
SDLP,a8a.t,4,123,9865,true,155,310,0.210635500,9.372063e-12,0.742321
