method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time
SOPP,tau=0.1,tau,5,P5,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,4.3520742565306136e-12,0.010587600000000001
SOPP,tau=0.1,tau,5,P5,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,7.5051076464660582e-12,0.018319700000000001
SOPP,tau=0.1,tau,5,P5,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,8.9246190475001332e-12,0.0077665
SOPP,tau=0.1,tau,5,P5,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,7.3550012301503803e-12,0.0076756999999999997
SOPP,tau=0.1,tau,6,P6,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,16,33,7.1054273576010019e-12,0.016648900000000001
SOPP,tau=0.1,tau,6,P6,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,15,31,3.3750779948604759e-12,0.0051888000000000004
SOPP,tau=0.1,tau,6,P6,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,16,32,7.8048678631148505e-12,0.0062229
SOPP,tau=0.1,tau,6,P6,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,16,33,6.0174087934683484e-12,0.012766599999999999
SOPP,tau=0.1,tau,6,P6,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,17,35,4.7739590058881731e-12,0.0037154000000000002
SOPP,tau=0.1,tau,6,P6,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,17,35,7.5495165674510645e-12,0.0038216000000000001
