method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time,tsel,srule
SDLP,srule=r2,srule,10,P10,10000,5.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,28,101,5.5733195836182858e-12,0.0062372,,r2
SDLP,srule=r2,srule,10,P10,10000,1/k,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,31,109,6.0489414870292764e-12,0.0059227999999999998,,r2
SDLP,srule=r2,srule,10,P10,10000,k/n,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,30,108,6.9520220668332176e-12,0.0055745999999999999,,r2
SDLP,srule=r2,srule,11,P11,10000,0.4,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,23,65,1.5695649878009571e-12,0.0070889000000000004,,r2
SDLP,srule=r2,srule,11,P11,10000,0.5,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,21,60,6.4187678436130034e-12,0.0062532000000000004,,r2
SDLP,srule=r2,srule,11,P11,10000,0.6,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,21,61,3.4546631283471762e-12,0.0060508999999999997,,r2
SDLP,srule=r2,srule,11,P11,10000,0.8,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,61,7.2170171111720078e-12,0.0064514000000000004,,r2
SDLP,srule=r2,srule,11,P11,10000,1.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,59,9.6049777408718427e-12,0.0060374000000000001,,r2
SDLP,srule=r2,srule,11,P11,10000,1.1,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,24,71,7.0846794147805896e-12,0.0071662000000000002,,r2
SDLP,srule=r2,srule,11,P11,10000,2.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,24,71,8.645627729019341e-12,0.0081124000000000005,,r2
